,Title,Step,Expected Result,Actual Result,Attachements,Dev Status
1,Sign up - Validation message is not displayed for name and age ,Open the testing app > Click on register > Fill the details in the form > Put invalid phone number and age > Click on register,All input field should have validation error message,Error message is not displayed for age and phone number and user is able to proceed sign up process,https://drive.google.com/file/d/1qxaaYyu_sJmDocLWOct96oZXqxpwzKIF/view?usp=drive_link,Done
2,Register > Form should no longer be in red once the user input a valid data,Open the app > Click on register > Clik on a form and input a valid data,"The text box can change to green or any other colour, red colour give the impression that the ddata is wrin",Red is used for text boxes in the app,,Done
3,Term of use and privacy link is not clickable,Open the app > Click on privacy policy in the lower part of the app,User should be redirected to the appropriate document,Link is not clickable ,,Done
4,Login- User is unable to click on the login button while the app is in split screen mode,Open the testing app > Split your device screen > Input data and try to click on the login button,User should be able to use the app in normal mode and split screen mode,The login button is unaccessible,https://drive.google.com/file/d/14mfm-i6B7dpsspixhQwyi2NmIXmrm39Y/view?usp=drive_link,Done
5,Register - Country code is not present for phone number field,,,,,Done
6,User is unable to continue typing after deleting a text in the OTP box,Open the app and finish the sign up process up till the OTP page > Input wrong OTP code > Delete some text > Type other text,User has to manually click on the next box before the text is displayed,"Text is not automatically continued when user types, user has to click on the next box",https://drive.google.com/file/d/1lM-fbToC2R2LFMHyeOP5Zm5YX7p3hyhn/view?usp=drive_link,Done
7,OTP box should not be in red except user types a wrong code,,Text box should only change to red as part of validation when user input the wrong code,,,Done
8,Register - No validation error when user tries to create an account without uploading profile picture,Open the app > Click on register > Fill up the details without uploading the the profile picture > lookout for error message ,"""Profile picture required"" should be in red text so the user can know where the error is coming from",The text remain in white while the register button is inactive,https://drive.google.com/file/d/1Zw2lw7iDKM5Ufj6HTytUCwuOVXajSGxU/view?usp=drive_link,Done
9,Register - Keyboard gets minimized when you click on the next form filled after filling the first one,Open the app and navigate to register > Fill up the first fireld and click on the second field > Observe the keyboard,Keyboard should remain visible,User has to click on the text box again before keyboard is displayed ,https://drive.google.com/file/d/1lI7iYiyddnj9sM_1Mz-amVcxxuYwUGoF/view?usp=drive_link,Done
10,"Register - Email registration code title is displayed as ""Laravel"" not ""GymPaddy""",Register an account > Navigate to the OTP page > Check your email for notification,The name of the app should be displayed as the title ,The app language name is displayed,https://drive.google.com/file/d/16zwWt7P-EGHbaWyg1WXVxYxDmaGvr976/view?usp=drive_link,Done
11,Register - Registration with a taken username shows a wrong validation error,Open the app > Click on regiater > Fill up the form and use an aleady used username to sign up > Click on register and onserve,,,,Done
12,Reset Password - Password mismatch validation is not displayed,Open the app and click on forgot password > Input your registered email and proceed > Input the code sent to your email > Type 2 different password,An error should show informing the user that the password doesnt match,Error message is not displayed ,https://drive.google.com/file/d/19M4Iwz-4g92qF67gG_hv7juTVmmQacUp/view?usp=drive_link,Done
13,Reset Password - User is unable to reset password,Open the testing app and follow th eforgot password flow > Input new password and confirm it > Click on proceed,User should be able to change the password and login with it,"No action is performed after clicking on the ""Proceed"" button",,Done
14,Homepage - Clicking on the back button doesnt close th ephoto interface,Open the testing app > Login with valid credentials > Click on the image under a post to fully view it> Click on the back button ,The image should return to the previous state and user should be able to continue activities,Image doesnt go back to the previous state,https://drive.google.com/file/d/1tg6z44ADouadTYdxB1eJRgTXIUQ7f_eo/view?usp=drive_link,Done
15,Homepage - Hide post button is still visible after post has been hidden ,Login with valid credential > Click on the 3 dots and click on hide post > Observe the button ,The button for that particular post should be hidden once the post has been hidden,Button is still active ,https://drive.google.com/file/d/1yft1UW7_20pUz7segJyqik8GPX8krkPY/view?usp=drive_link,Done
16,Homepage - Hidden post if displayed once user closes the app and open it back,Login to homepage > Click on the 3 dots and hide a post > Close the app > Open it back and observ,The hidden post should stay hidden,Post is visible ,https://drive.google.com/file/d/1QyaYUHNneh5iTxN5Sr-cYM-AL0Y5ZUU8/view?usp=drive_link,Done
17,Search - Clear (X) button should be in the search box so the user can clear all input at once,,,,https://drive.google.com/file/d/1BSXe90j6WZACIV4YwkEjrVHZjalKoo1n/view?usp=drive_link,Done
18,Search -Search result is not displayed,Login to the app > Click on the search button at the top > input some text and click on search,Message should be displayed to the user once the search functions complete,"Page is blank, message is not displayed",https://drive.google.com/file/d/1CJOn4UXh8uSNY95YFAv6CB6mH94ssTRR/view?usp=drive_link,Done
19,Search -The lower part of the app becomes inaceesssible once user click on the search button,Login to the app > Click on the search button > Observe the lower part of the app,Search page should not cover the other parts of the app,Search page covers the whole page,https://drive.google.com/file/d/1uvP0nSfF6GXzq-euz5uG857xwg6NHSlu/view?usp=drive_link,Done
